inj_id,target_layer,layer_weigths,bit_pos,n_injections,top_1_correct,top_5_correct,top_1_robust,top_5_robust,masked,non_critical,critical
15341,conv2d_18,"(2, 2, 62, 52)",6,10,10,10,10,10,10,0,0
15342,conv2d_18,"(0, 2, 18, 26)",6,10,10,10,10,10,8,2,0
15343,conv2d_18,"(2, 1, 52, 12)",25,10,10,10,10,10,0,10,0
15344,conv2d_18,"(1, 2, 57, 35)",15,10,10,10,10,10,0,10,0
15345,conv2d_18,"(1, 1, 45, 31)",15,10,10,10,10,10,0,10,0
15346,conv2d_18,"(0, 1, 21, 21)",0,10,10,10,10,10,10,0,0
15347,conv2d_18,"(1, 1, 60, 51)",31,10,10,10,10,10,0,10,0
15348,conv2d_18,"(2, 1, 4, 30)",11,10,10,10,10,10,9,1,0
15349,conv2d_18,"(1, 1, 7, 40)",2,10,10,10,10,10,10,0,0
15350,conv2d_18,"(1, 2, 27, 17)",5,10,10,10,10,10,10,0,0
15351,conv2d_18,"(1, 0, 33, 6)",24,10,10,10,10,10,0,10,0
15352,conv2d_18,"(2, 0, 18, 31)",5,10,10,10,10,10,6,4,0
15353,conv2d_18,"(1, 0, 38, 44)",8,10,10,10,10,10,2,8,0
15354,conv2d_18,"(2, 2, 32, 9)",5,10,10,10,10,10,9,1,0
15355,conv2d_18,"(2, 2, 23, 22)",26,10,10,10,10,10,1,9,0
15356,conv2d_18,"(0, 2, 24, 57)",16,10,10,10,10,10,0,10,0
15357,conv2d_18,"(2, 0, 32, 15)",26,10,10,10,10,10,0,10,0
15358,conv2d_18,"(0, 2, 13, 40)",21,10,10,10,10,10,1,9,0
15359,conv2d_18,"(0, 0, 22, 7)",13,10,10,10,10,10,2,8,0
15360,conv2d_18,"(2, 2, 41, 11)",10,10,10,10,10,10,3,7,0
15361,conv2d_18,"(2, 1, 1, 12)",4,10,10,10,10,10,10,0,0
15362,conv2d_18,"(2, 0, 39, 19)",3,10,10,10,10,10,9,1,0
15363,conv2d_18,"(2, 0, 38, 14)",20,10,10,10,10,10,0,10,0
15364,conv2d_18,"(0, 2, 28, 60)",3,10,10,10,10,10,10,0,0
15365,conv2d_18,"(1, 0, 40, 52)",30,10,4,6,4,6,0,4,6
15366,conv2d_18,"(0, 1, 6, 24)",21,10,10,10,10,10,0,10,0
15367,conv2d_18,"(1, 0, 46, 39)",11,10,10,10,10,10,4,6,0
15368,conv2d_18,"(1, 2, 44, 32)",0,10,10,10,10,10,10,0,0
15369,conv2d_18,"(1, 0, 28, 46)",25,10,10,10,10,10,0,10,0
15370,conv2d_18,"(2, 0, 54, 41)",20,10,10,10,10,10,4,6,0
15371,conv2d_18,"(2, 2, 1, 33)",23,10,10,10,10,10,1,9,0
15372,conv2d_18,"(1, 2, 12, 20)",30,10,7,8,7,8,0,7,3
15373,conv2d_18,"(0, 0, 55, 23)",11,10,10,10,10,10,3,7,0
15374,conv2d_18,"(2, 1, 36, 29)",30,10,7,7,7,7,0,7,3
15375,conv2d_18,"(1, 1, 38, 13)",4,10,10,10,10,10,7,3,0
15376,conv2d_18,"(0, 1, 24, 56)",19,10,10,10,10,10,1,9,0
15377,conv2d_18,"(2, 1, 3, 31)",25,10,10,10,10,10,0,10,0
15378,conv2d_18,"(2, 1, 57, 49)",0,10,10,10,10,10,9,1,0
15379,conv2d_18,"(2, 2, 12, 1)",19,10,10,10,10,10,3,7,0
15380,conv2d_18,"(1, 2, 54, 59)",23,10,10,10,10,10,3,7,0
15381,conv2d_18,"(2, 1, 44, 24)",1,10,10,10,10,10,10,0,0
15382,conv2d_18,"(0, 1, 11, 56)",3,10,10,10,10,10,9,1,0
15383,conv2d_18,"(1, 1, 60, 32)",9,10,10,10,10,10,1,9,0
15384,conv2d_18,"(1, 0, 44, 3)",11,10,10,10,10,10,4,6,0
15385,conv2d_18,"(0, 2, 58, 38)",3,10,10,10,10,10,10,0,0
15386,conv2d_18,"(2, 1, 9, 24)",15,10,10,10,10,10,1,9,0
15387,conv2d_18,"(0, 1, 13, 58)",20,10,10,10,10,10,1,9,0
15388,conv2d_18,"(0, 2, 48, 23)",25,10,10,10,10,10,0,10,0
15389,conv2d_18,"(2, 1, 3, 4)",20,10,10,10,10,10,1,9,0
15390,conv2d_18,"(2, 2, 58, 7)",29,10,10,10,10,10,1,9,0
15391,conv2d_18,"(0, 0, 18, 43)",29,10,10,10,10,10,1,9,0
15392,conv2d_18,"(1, 1, 52, 1)",28,10,10,10,10,10,0,10,0
15393,conv2d_18,"(2, 2, 8, 38)",12,10,10,10,10,10,0,10,0
15394,conv2d_18,"(1, 0, 8, 1)",27,10,10,10,10,10,2,8,0
15395,conv2d_18,"(1, 0, 16, 34)",13,10,10,10,10,10,0,10,0
15396,conv2d_18,"(2, 2, 10, 55)",6,10,10,10,10,10,6,4,0
15397,conv2d_18,"(1, 2, 40, 30)",27,10,10,10,10,10,1,9,0
15398,conv2d_18,"(0, 1, 58, 46)",9,10,10,10,10,10,3,7,0
15399,conv2d_18,"(2, 2, 14, 63)",16,10,10,10,10,10,2,8,0
15400,conv2d_18,"(1, 1, 38, 14)",11,10,10,10,10,10,2,8,0
15401,conv2d_18,"(0, 1, 4, 30)",31,10,10,10,10,10,1,9,0
15402,conv2d_18,"(1, 0, 37, 7)",27,10,10,10,10,10,2,8,0
15403,conv2d_18,"(0, 2, 61, 59)",26,10,10,10,10,10,0,10,0
15404,conv2d_18,"(2, 0, 9, 35)",16,10,10,10,10,10,2,8,0
15405,conv2d_18,"(1, 2, 6, 53)",5,10,10,10,10,10,7,3,0
15406,conv2d_18,"(1, 0, 28, 19)",9,10,10,10,10,10,1,9,0
15407,conv2d_18,"(2, 2, 3, 18)",10,10,10,10,10,10,6,4,0
15408,conv2d_18,"(0, 0, 0, 57)",19,10,10,10,10,10,0,10,0
15409,conv2d_18,"(2, 0, 19, 62)",27,10,10,10,10,10,2,8,0
15410,conv2d_18,"(2, 2, 31, 62)",27,10,10,10,10,10,10,0,0
15411,conv2d_18,"(1, 0, 61, 49)",27,10,10,10,10,10,2,8,0
15412,conv2d_18,"(1, 1, 26, 47)",29,10,10,10,10,10,1,9,0
15413,conv2d_18,"(2, 2, 31, 3)",11,10,10,10,10,10,10,0,0
15414,conv2d_18,"(2, 2, 38, 61)",5,10,10,10,10,10,9,1,0
15415,conv2d_18,"(2, 0, 29, 38)",28,10,10,10,10,10,1,9,0
15416,conv2d_18,"(1, 0, 0, 40)",0,10,10,10,10,10,9,1,0
15417,conv2d_18,"(1, 0, 27, 24)",6,10,10,10,10,10,10,0,0
15418,conv2d_18,"(1, 0, 54, 37)",22,10,10,10,10,10,3,7,0
15419,conv2d_18,"(2, 2, 10, 9)",11,10,10,10,10,10,6,4,0
15420,conv2d_18,"(0, 0, 6, 62)",10,10,10,10,10,10,5,5,0
15421,conv2d_18,"(0, 1, 8, 37)",2,10,10,10,10,10,10,0,0
15422,conv2d_18,"(1, 1, 24, 39)",22,10,10,10,10,10,0,10,0
15423,conv2d_18,"(2, 1, 57, 47)",27,10,10,10,10,10,0,10,0
15424,conv2d_18,"(0, 2, 38, 31)",5,10,10,10,10,10,7,3,0
15425,conv2d_18,"(1, 2, 63, 16)",17,10,10,10,10,10,1,9,0
15426,conv2d_18,"(1, 1, 62, 20)",19,10,10,10,10,10,0,10,0
15427,conv2d_18,"(0, 1, 23, 57)",3,10,10,10,10,10,10,0,0
15428,conv2d_18,"(1, 2, 19, 10)",24,10,10,10,10,10,2,8,0
15429,conv2d_18,"(2, 1, 45, 59)",30,10,2,6,2,6,0,2,8
15430,conv2d_18,"(0, 1, 26, 49)",7,10,10,10,10,10,9,1,0
15431,conv2d_18,"(1, 0, 25, 9)",29,10,10,10,10,10,1,9,0
15432,conv2d_18,"(0, 1, 58, 3)",20,10,10,10,10,10,4,6,0
15433,conv2d_18,"(1, 0, 14, 6)",13,10,10,10,10,10,0,10,0
15434,conv2d_18,"(0, 0, 50, 56)",20,10,10,10,10,10,2,8,0
15435,conv2d_18,"(0, 2, 36, 20)",6,10,10,10,10,10,9,1,0
15436,conv2d_18,"(1, 0, 35, 54)",16,10,10,10,10,10,1,9,0
15437,conv2d_18,"(1, 0, 43, 40)",29,10,10,10,10,10,0,10,0
15438,conv2d_18,"(1, 2, 35, 17)",28,10,10,10,10,10,2,8,0
15439,conv2d_18,"(2, 2, 25, 44)",28,10,10,10,10,10,0,10,0
15440,conv2d_18,"(0, 1, 4, 17)",9,10,10,10,10,10,3,7,0
15441,conv2d_18,"(1, 2, 25, 21)",11,10,10,10,10,10,2,8,0
15442,conv2d_18,"(2, 1, 48, 46)",20,10,10,10,10,10,0,10,0
15443,conv2d_18,"(1, 0, 48, 1)",7,10,10,10,10,10,3,7,0
15444,conv2d_18,"(1, 1, 51, 10)",25,10,10,10,10,10,0,10,0
15445,conv2d_18,"(0, 1, 12, 45)",1,10,10,10,10,10,10,0,0
15446,conv2d_18,"(1, 1, 41, 30)",6,10,10,10,10,10,10,0,0
15447,conv2d_18,"(1, 1, 6, 7)",1,10,10,10,10,10,10,0,0
15448,conv2d_18,"(2, 1, 54, 45)",30,10,1,3,1,3,1,0,9
15449,conv2d_18,"(0, 1, 13, 23)",1,10,10,10,10,10,10,0,0
15450,conv2d_18,"(2, 2, 34, 5)",13,10,10,10,10,10,1,9,0
15451,conv2d_18,"(2, 1, 3, 4)",15,10,10,10,10,10,2,8,0
15452,conv2d_18,"(2, 0, 63, 29)",15,10,10,10,10,10,1,9,0
15453,conv2d_18,"(0, 2, 14, 54)",31,10,10,10,10,10,0,10,0
15454,conv2d_18,"(0, 2, 21, 57)",6,10,10,10,10,10,7,3,0
15455,conv2d_18,"(2, 0, 25, 49)",7,10,10,10,10,10,9,1,0
15456,conv2d_18,"(0, 1, 42, 55)",2,10,10,10,10,10,10,0,0
15457,conv2d_18,"(1, 0, 34, 3)",6,10,10,10,10,10,10,0,0
15458,conv2d_18,"(1, 1, 25, 41)",2,10,10,10,10,10,10,0,0
15459,conv2d_18,"(1, 2, 26, 2)",28,10,10,10,10,10,1,9,0
15460,conv2d_18,"(0, 0, 62, 10)",0,10,10,10,10,10,10,0,0
15461,conv2d_18,"(1, 2, 44, 6)",23,10,10,10,10,10,0,10,0
